arg-id,comment-id,argument
A1.0_0,1.0,ディスコードのアイコンをチーム共通のアニメーションGIFに改造してチーム意識を持たせたい。『エンジェルうさぎ』ならば、既存のプロフィール画像にうさぎをモチーフにしたアニメーションGIFを入れ込む。
A2.0_0,2.0,1日の運動した内容を入れ込むと消費カロリー計算と減る体重量目安を教えてくれる。
A3.0_0,3.0,アマゾンで購入した食品の賞味期限を一括管理してアラートを出してほしい。
A4.0_0,4.0,毎日15000歩歩いているが、今の地点から片道or往復で〇〇歩の場所を知りたい。
A5.0_0,5.0,自分に合った無料のAIサービスを知りたい。（診断）
A6.0_0,6.0,無料の範囲で経費のレシートを最小のデータ量でデジタル管理したい。
A7.0_0,7.0,mixiの広告連発が不便。
A8.0_0,8.0,無料で見れる自分が見たい動画を探すのが不便。世界超密着TV!ワレワレハ地球人ダ!!のスネークハンターが見たい。
A9.0_0,9.0,無料ユーザーでGPTを使用中に1日で利用できる回数制限になった時、他のAIでさくっと作成できると嬉しい。
A10.0_0,10.0,自宅近くのスーパーで最安値の鶏肉とブロッコリーを知りたい。
A11.0_0,11.0,渋谷のビル風が強すぎるスポットを知りたい。（サクラステージとか）
A12.0_0,12.0,未来的に僕のお金を自分の抱えるユーザーと共有資産化したく、AIで最適な環境を作りたい。
A13.0_0,13.0,年間110万円の贈与は無税無申告なので、年間贈与の金額を管理できるツールがほしい。
A14.0_0,14.0,インターネット上のセールスでできるところはAI化自動化したい。
A15.0_0,15.0,ユーザー毎の支払った金額と利用できるチケットとチケットの有効期限をより良く一括管理したい。
A16.0_0,16.0,未来型の人間関係の形を知り、そのような人間関係を効率よく確保していきたい。
A17.0_0,17.0,自分の抱えている大量のスピリチュアル好きもしくはスピリチュアル活動者のネット活動を効率化したい。
A18.0_0,18.0,ゲームアプリのガチャのように自分のインターネット上のサービス業全てに活用できる最強課金スキームをAI化したい。
A19.0_0,19.0,自分のビジネスで繋がっているユーザーの人生を効率よく正しい方向に進めたい。
A20.0_0,20.0,GPTの入力欄とチャットの２つをコメントビューアーみたくリアルタイムに見やすく表示したい。背景を透明化できるといい。
A21.0_0,21.0,大きい駅での乗り換えが大変
A22.0_0,22.0,課題が提出できているか分からない（このシステムもできているか分からない）
A23.0_0,23.0,新しいアプリを使う時分からない
A24.0_0,24.0,駐車場が本当に空いているか分からん
A25.0_0,25.0,たまに誰が支払いをしたのか分からなくなる
A26.0_0,26.0,渋滞があるか分からない
A27.0_0,27.0,はじめて行くところの道路が狭いか分からない
A28.0_0,28.0,ゴミ箱が少ない
A29.0_0,29.0,道が狭い
