arg-id,comment-id,x,y,cluster-id
A1.0_0,1.0,1.1844476,4.4557533,2
A2.0_0,2.0,2.614674,2.2236946,9
A3.0_0,3.0,2.6366494,-0.7444727,6
A4.0_0,4.0,5.101376,3.376635,5
A5.0_0,5.0,1.2121593,4.40789,2
A6.0_0,6.0,-0.0378423,1.6833526,9
A7.0_0,7.0,0.8862261,5.4148717,2
A8.0_0,8.0,1.0724604,5.8308725,2
A9.0_0,9.0,1.2672015,4.442227,2
A10.0_0,10.0,2.0680392,-0.22852245,9
A11.0_0,11.0,5.7489386,2.403463,3
A12.0_0,12.0,1.3777674,4.2665496,2
A13.0_0,13.0,0.22833125,1.2748619,9
A14.0_0,14.0,1.3667444,4.2513757,2
A15.0_0,15.0,0.08980431,0.99447304,9
A16.0_0,16.0,1.7350216,3.647311,2
A17.0_0,17.0,1.3857173,3.0808342,9
A18.0_0,18.0,1.4112684,4.2958865,2
A19.0_0,19.0,1.0197973,3.2815254,2
A20.0_0,20.0,0.9400206,4.5267267,2
A21.0_0,21.0,6.099712,3.7139027,5
A22.0_0,22.0,-1.4456332,3.496251,7
A23.0_0,23.0,1.4619722,4.7883825,2
A24.0_0,24.0,5.819115,4.4375753,5
A25.0_0,25.0,0.5348871,0.5341598,9
A26.0_0,26.0,5.9111094,3.0737307,5
A27.0_0,27.0,5.234385,3.358167,5
A28.0_0,28.0,5.823381,-1.1705579,8
A29.0_0,29.0,5.169967,3.340738,5
A30.0_0,30.0,4.5957804,3.8305955,1
A31.0_0,31.0,5.187378,3.3435707,5
A32.0_0,32.0,3.0793362,3.423411,1
A33.0_0,33.0,3.6796978,3.7406347,1
A34.0_0,34.0,-0.8310994,5.533426,9
A35.0_0,35.0,-0.862933,5.4511247,9
A36.0_0,36.0,1.9752375,3.3906746,2
A37.0_0,37.0,2.0204854,-0.17865105,9
A38.0_0,38.0,4.511773,3.6918323,1
A39.0_0,39.0,2.2363386,0.07549875,9
A40.0_0,40.0,6.1065745,1.9744655,3
A41.0_0,41.0,6.0056286,3.5547965,5
A42.0_0,42.0,6.1706777,1.6508079,3
A43.0_0,43.0,3.831796,4.9286156,1
A44.0_0,44.0,-1.4189874,2.9525592,7
