arg-id,comment-id,x,y,cluster-id
A1_0,1,15.755116,8.198469,1
A2_0,2,13.16473,10.229569,1
A3_0,3,11.438983,8.751416,0
A4_0,4,10.179566,10.6686735,2
A5_0,5,13.537139,9.604687,1
A6_0,6,13.954222,7.8740172,1
A7_0,7,15.142778,8.0169935,1
A8_0,8,14.859802,8.661315,1
A9_0,9,14.967547,8.423717,1
A10_0,10,11.398035,9.043699,0
A11_0,11,10.088016,11.19182,2
A12_0,12,14.274072,8.611808,1
A13_0,13,13.917114,7.976914,1
A14_0,14,14.261384,8.790169,1
A15_0,15,13.838318,7.591583,1
A16_0,16,14.759711,9.44559,1
A17_0,17,14.532846,8.6960535,1
A18_0,18,14.380595,8.51303,1
A19_0,19,14.35775,8.825808,1
A20_0,20,15.362455,8.07589,1
A21_0,21,9.221807,12.300932,2
A22_0,22,17.537085,9.842851,5
A23_0,23,14.867877,7.224722,1
A24_0,24,8.953832,10.833769,2
A25_0,25,13.620771,7.260107,1
A26_0,26,9.480805,11.086558,2
A27_0,27,9.756985,10.894155,2
A28_0,28,11.627173,7.571034,0
A29_0,29,9.657843,10.959918,2
A30_0,30,10.942767,11.29892,3
A31_0,31,9.767027,10.928729,2
A32_0,32,10.34028,10.227339,3
A33_0,33,10.314584,10.444367,3
A34_0,34,14.725717,11.185011,5
A35_0,35,14.766566,11.078439,5
A36_0,36,14.692694,10.902003,5
A37_0,37,12.06253,9.663242,3
A38_0,38,11.810957,11.374759,3
A39_0,39,11.662364,8.884011,0
A40_0,40,8.8941345,6.827875,1
A41_0,41,9.024154,12.058257,2
A42_0,42,8.742791,6.743783,1
A43_0,43,12.454393,11.347116,3
A44_0,44,17.975693,10.348442,5
A45_0,45,16.990664,11.11711,5
A46_0,46,11.856257,11.778471,3
A47_0,47,17.37918,11.153389,5
A48_0,48,17.157578,11.513613,5
A49_0,49,11.838978,9.708033,3
A50_0,50,11.620151,6.9874353,0
A51_0,51,11.09983,11.498632,3
A52_0,52,16.518135,11.792172,5
A53_0,53,17.149206,11.213228,5
A54_0,54,17.625532,11.516982,5
A55_0,55,16.817492,8.917109,1
A56_0,56,17.527359,10.95742,5
A57_0,57,15.4078045,8.594829,1
A58_0,58,16.530138,10.990371,5
A59_0,59,15.1200905,7.2103963,1
A60_0,60,13.193623,9.0030365,1
A61_0,61,8.557914,6.5878754,1
A62_0,62,17.202356,10.7152195,5
A63_0,63,15.700006,10.420618,1
A64_0,64,17.875053,11.086821,5
A65_0,65,11.678701,6.7245703,0
A66_0,66,14.594969,10.209117,1
A67_0,67,14.792362,10.307054,1
A68_0,68,14.534805,9.42037,1
A69_0,69,8.905231,6.7194166,1
A70_0,70,12.079877,8.314254,0
A71_0,71,16.61243,8.872077,1
A72_0,72,11.101333,8.7254305,0
A73_0,73,9.053972,10.824365,2
A74_0,74,12.267043,8.731484,0
A75_0,75,12.5757675,8.748974,0
A76_0,76,9.01067,6.923502,1
A77_0,77,9.495654,10.8496,2
A78_0,78,11.640851,9.066771,0
A79_0,79,9.471881,11.033231,2
A80_0,80,11.029882,10.612512,3
