番号,アイデア
1,ディスコードのアイコンをチーム共通のアニメーションGIFに改造してチーム意識を持たせたい。『エンジェルうさぎ』ならば、既存のプロフィール画像にうさぎをモチーフにしたアニメーションGIFを入れ込む。
2,1日の運動した内容を入れ込むと消費カロリー計算と減る体重量目安を教えてくれる。
3,アマゾンで購入した食品の賞味期限を一括管理してアラートを出してほしい。
4,毎日15000歩歩いているが、今の地点から片道or往復で〇〇歩の場所を知りたい。
5,自分に合った無料のAIサービスを知りたい。（診断）
6,無料の範囲で経費のレシートを最小のデータ量でデジタル管理したい。
7,mixiの広告連発が不便。
8,無料で見れる自分が見たい動画を探すのが不便。世界超密着TV!ワレワレハ地球人ダ!!のスネークハンターが見たい。
9,無料ユーザーでGPTを使用中に1日で利用できる回数制限になった時、他のAIでさくっと作成できると嬉しい。
10,自宅近くのスーパーで最安値の鶏肉とブロッコリーを知りたい。
11,渋谷のビル風が強すぎるスポットを知りたい。（サクラステージとか）
12,未来的に僕のお金を自分の抱えるユーザーと共有資産化したく、AIで最適な環境を作りたい。
13,年間110万円の贈与は無税無申告なので、年間贈与の金額を管理できるツールがほしい。
14,インターネット上のセールスでできるところはAI化自動化したい。
15,ユーザー毎の支払った金額と利用できるチケットとチケットの有効期限をより良く一括管理したい。
16,未来型の人間関係の形を知り、そのような人間関係を効率よく確保していきたい。
17,自分の抱えている大量のスピリチュアル好きもしくはスピリチュアル活動者のネット活動を効率化したい。
18,ゲームアプリのガチャのように自分のインターネット上のサービス業全てに活用できる最強課金スキームをAI化したい。
19,自分のビジネスで繋がっているユーザーの人生を効率よく正しい方向に進めたい。
20,GPTの入力欄とチャットの２つをコメントビューアーみたくリアルタイムに見やすく表示したい。背景を透明化できるといい。
21,大きい駅での乗り換えが大変
22,課題が提出できているか分からない（このシステムもできているか分からない）
23,新しいアプリを使う時分からない
24,駐車場が本当に空いているか分からん
25,たまに誰が支払いをしたのか分からなくなる
26,渋滞があるか分からない
27,はじめて行くところの道路が狭いか分からない
28,ゴミ箱が少ない
29,道が狭い
30,道にトイレが少ない
31,道が暗いところがある
32,旅行でどこ行ったらいいか分からない
33,おすすめの場所が多くて決まらない
34,相手が英語通じない
35,言語が通じない時
36,相手がどこの国の人か分からない
37,水欲しい時に買う場所がない
38,ベンチが少ない
39,何を買えばいいか分からなくなる
40,雨雲が来てるか普段の時も知りたい
41,駅のホームに着くまで電車の混雑具合が分からない
42,天気予報アプリの降水確率だけでは傘を持って行くか迷う
43,カフェの電源席が空いているかどうか行ってみないと分からない
44,学校の課題提出を忘れがち
45,講義資料が配布される媒体がバラバラで管理しづらい
46,学食が混んでいて入るまでに時間がかかる
47,授業の休講・補講の連絡が遅い
48,Wi-Fiの接続が教室によって不安定
49,コンビニでレジに並ぶ時間が長い
50,賃貸物件の騒音状況が住んでみないと分からない
51,学内のトイレが混んでいて空きを探すのが大変
52,自習室の空き状況が分からない
53,講義の教室変更が分かりづらい
54,スマホの充電が講義中に切れるが、電源席が少ない
55,ノートPCの持ち運びが重くて負担
56,講義の出席確認が紙で効率が悪い
57,Zoom録画がどこで共有されてるか分からず不安
58,友達に講義資料を頼むのが気まずい
59,アプリやサービスのパスワードが多すぎて覚えきれない
60,病院や美容院の予約が電話のみで面倒
61,急な雨に傘を持っておらず濡れる
62,どの授業でどんな課題が出ているか把握しにくい
63,グループワークのメンバーとの連絡手段が定まらない
64,授業の内容をメモするときスマホを使うと怪しまれる
65,物件の壁の薄さ（防音性）が内見時に分からない
66,親から子供への虐待は何とかして無くなれば良いのに
67,夫婦間のDVは何とかして無くなれば良いのに
68,他人の生命を凶器などでおびやかして自らの欲求を得ることは何とかして無くなれば良いのに
69,雨の日はデリバリーの配達人が少なくて配達してくれないことを解決できたら良いのに
70,加湿器の定期的なフィルターの消毒がめんどくさいのを解消できたら良いのに
71,どうしても机の上に置かれる小物が増えてしまうのを効率よく整理できたら良いのに
72,糠漬けの独特の匂いが嫌いな家族に伝わりにくくする方法があれば良いのに
73,ガソリン車でも自動駐車機能がある車があれば良いのに
74,防水機能を謳う製品の防水寿命が短いのを長くできれば良いのに
75,身に着ける静電気防止製品の効果が実際にあるかが事前に分かれば良いのに
76,雷が極近くに落ちる可能性がわかると良いのに
77,道路が凍っているのか凍ってないのか通行前に判断できるようになれば良いのに
78,スーパーの買い物でマイバッグなどに重心を安定して崩れないような入れる順番などを指示してくれれば良いのに
79,一般道で制限速度で走っているとオートバイや車が追い越し禁止でも抜いていくことが多いのが無くなると良いのに
80,歩きタバコをしている人の煙がこちらに向かってきていることを事前にわかると良いのに
81,車から漏れていたり歩きタバコなどで漂って残っている煙の臭いがある場所が事前にわかると良いのに
82,温暖化がCO2だけが原因なのかを確認したいので太陽エネルギーの増減をリアルタイムで見れると良いのに
83,反抗期の子供が親の言うことを聞いてくれると良いのに
84,腕時計型の改札通過タッチデバイスのタッチが左手首にあってほしいので右側にあるタッチ機器にタッチしにくいのを何とかタッチしやすくなれば良いのに
85,花粉症で花粉の吸引を抑制する不織布マスクと顔に合わない隙間を自動的に狭めてフィルター効果を高めてくれる補助器具があると良いのに
86,花粉症の薬で1日の回数2回や1回と1箱の錠数の違いがばらばらなので最もお得な薬を簡単に計算できれば良いのに
87,空きコマの時間が中途半端で有効活用しづらい
88,大学のWi-Fiが弱くてオンライン授業や調べ物がしにくい
89,学食が混んでて座れない
90,レポートの提出フォーマットが授業ごとにバラバラ
91,パソコンの充電スペースが足りない
92,教室の場所が分かりにくくて迷う
93,履修登録システムが使いづらい・重い
94,成績や単位の反映が遅い
95,教科書が高すぎる
96,先生に質問しにくい（特に大人数授業）
97,オンライン授業の音声や映像が途切れる
98,授業で出席を紙でとる場合、忘れやすい
99,プレゼンのとき、プロジェクターの接続トラブルが多い
100,自転車の駐輪場が満車で止められない
101,大学内の掲示情報が紙ベースで探しづらい
102,一人暮らしだと料理や洗濯のやる気が出ない
103,鍵をなくしたり、見つからないことがある
104,バスや電車の時間がアプリと実際でずれる
105,洗濯物が部屋干しだと乾きにくい
106,カフェや図書館が満席で勉強できない
107,電車で帰宅するとき、毎回乗り換えを調べないと帰宅時間がわからない
108,食堂の食券売り場が混雑している
109,授業の教室確認に手間がかかる
110,課題をやる予定をうまく立てられない
111,家族が食べ切れる量の料理を作りたい
112,友達の誕生日が覚えられない
113,お気に入りのレシピをまとめておきたい
114,出席時のログインが面倒
115,海外ゲームの翻訳をしながら英語の勉強をしたい
116,ゲームのログインを忘れるので管理したい
117,デザインの修正を手伝ってほしい
118,無駄遣いをしないで貯金をするモチベーションがほしい
119,寝る前にデバイスの充電を忘れる
120,漫画の最新刊発売日を簡単に確認したい
121,家族で同じものを買わないようにしたい
122,家にある食材がわからない
123,残り物に合わせて料理の献立を考えることが難しい
124,会話の話題作り、話題探しをしてほしい
125,近所のスーパーで一番安い店を探してほしい
126,安売りの食材でレシピを考えてほしい
127,認知症かもしれないと不安になる
128,認知症介護者の悩みを解決したい
129,認知症の人が見えてる世界を知りたい
130,「あれなんだっけ」を思い出したい
131,夏が暑すぎて辛い
132,毎日のゴミが多くて嫌
133,冷房に弱くて夏が辛い。暑いのも辛い
134,冷え性が辛い
135,スマホの広告がウザい。たまに記事が読めない
136,どうでもいいネット記事を読んで時間を溶かすのが悲しい
137,犬猫の可哀想なリール動画が何回も上がってきてしまって困る。最後は助けられて幸せになるところまで見ないと落ち着かないので、見てしまう
138,ドギツイ画像の広告が表示されると凹む
139,旅行前の準備で忘れ物がないか不安
140,旅行基本情報がほしい。重いガイドブックを持ちたくない、Web情報だとページを出すまで面倒で通信が切れたら困る
141,自分の商品をもっと売りたい
142,陰謀論者が多くて困る
143,財布の中の一円玉が溜まって処理に困る
144,Audibleの検索結果や分類が間違っていてストレス
145,何かをポケットに入れて、忘れて無くしたと思ってることが多くて困る
146,猫が大切なものの上に座って困る
147,疎遠気味の友人を遊びに誘いたいが、（コロナ以降は特に）気軽に誘うのが難しくなっている。
148,家族内で決めたルールや役割分担を忘れてしまうことが多く、どこに書いたかもバラバラで探しづらい。
149,各店舗のポイントカードが紙やアプリでバラバラになっており、使いたいときに探せず結局使わずじまいになる。
150,読書や筋トレ、語学など自己研鑽を始めても、モチベーションが続かず途中で止まってしまう。
151,対話型AIが進化しているとはいえ、“友達”のような信頼関係までは築けず、孤独感は解消されない。
152,ニュースサイトやSNSを見ているうちに、何が本当に自分にとって重要なのか分からなくなり、時間を浪費してしまう。
153,SNS上での誹謗中傷が依然として多く、精神的ダメージを受ける人が後を絶たない。
154,ディープフェイク技術により、本人に成りすました偽コンテンツが簡単に作れてしまうという不安がある。
155,Discordなどのチャットツールで会話が流れるスピードが早すぎて、重要な情報を見逃してしまう。
156,ネット上のレビューやコメントがAIによって自動生成されたものも多く、どれが本当に人の声か見分けがつかない。
157,「あとで読む」サービスに記事を保存しても、結局読まないまま情報が溜まっていく。
158,サブスクリプションサービスを契約したまま放置してしまい、実際に必要かどうかを見直すタイミングがない。
159,実現したいアイデアがあっても、それを形にするスキルや人脈がなく、行動に移せずに終わってしまう。
160,応援したい“推し”がいても、「どこで何をすれば応援になるのか」が分かりづらく、行動に結びつかない。
161,イベントやライブの情報がさまざまな媒体に分散しており、日程を整理して把握するのが難しい。
162,音楽アプリでは過去の再生履歴を元におすすめが出てくるが、自分の今の気分や感情までは反映されない。
163,ゲームではキャラの強さが重視され、愛着を持って育てた初期のキャラが後半で使いづらくなる。
164,ネット検索で調べ物をするとき、関連する時系列のグラフやマイルストーンはあるが、それらを横断的に比較するのが手間。
165,チームでのアイデア出しにおいて、アウトプットの粒度が人によってバラバラで、議論がまとまりにくい。
166,自分のキャリアや方向性に迷ったときに、具体的に道を示したり背中を押してくれるような“師匠”と出会う機会が少ない。
167,ゴミ出しの日をよく忘れる
168,エレベーターの到着が遅い
169,ツールの学び方がわからない
170,スマホの充電コードがすぐ断線する
171,飲食店の待ち時間が行かないとわからない
172,学校のWi-Fiが途切れやすい
173,授業スライドのダウンロードが面倒
174,自販機のお釣りの受け取り口がわかりづらい
175,雨の日に傘をどこに置いたか忘れる
176,ラーメン屋のティッシュが取りづらい
177,スマホの通知が多すぎて大事なものが埋もれる
178,コピー機の使い方がわかりにくい
179,電源が少ないカフェが多い
180,コンビニのレジ待ちが長い
181,バスの到着時間がずれる
182,授業で出席確認が面倒
183,ZoomのマイクON/OFF切り替え忘れる
184,トイレの空き状況がわからない
185,荷物が多いと鍵を取り出しにくい
186,Googleカレンダーの通知が多すぎる
187,研究室の雑務のドキュメント資料の作成
188,毎日の水分摂取量がわからない
189,カフェの電源席の空席状況が事前に分からず、直接足を運ぶ必要がある
190,課題や提出物を送信したかどうか、確認できるシステムがない
191,オンライン授業中に音声や映像が途切れる、通信の不具合が起こる
192,学校の掲示板や連絡網で情報が散らばり、必要な情報が見つけにくい
193,スマートフォンのバッテリーがすぐに切れてしまい、充電場所の確認が必要になる
194,パソコンとスマホの使用時間の合計がわからない
195,バスの運行情報がリアルタイムではなく、時刻表通りに待たなければならない
196,自転車のシェアサービスのアプリ操作が分かりにくく、利用時に迷う
197,駐車場の空き状況が事前に確認できず、時間をロスしてしまう
198,レジでのスキャンエラーやポイントカードの読み取りミスが頻発し、会計がスムーズにいかない
199,スーパーやドラッグストアの商品の在庫情報が確認できない
200,学校のカフェテリアの混雑度が事前に把握できず、着席までに待たされる
201,大学のWi-Fiの接続状況が安定せず、ネット環境が心配になる
202,学内の図書館や自習室の空席情報が分からず、利用可能かどうか判断しづらい
203,飲食店の予約システムが不安定で、実際の待ち時間と予約状況に差がある
