arg-id,comment-id,argument
A1_0,1,ディスコードのアイコンをチーム共通のアニメーションGIFに改造してチーム意識を持たせたい。『エンジェルうさぎ』ならば、既存のプロフィール画像にうさぎをモチーフにしたアニメーションGIFを入れ込む。
A2_0,2,1日の運動した内容を入れ込むと消費カロリー計算と減る体重量目安を教えてくれる。
A3_0,3,アマゾンで購入した食品の賞味期限を一括管理してアラートを出してほしい。
A4_0,4,毎日15000歩歩いているが、今の地点から片道or往復で〇〇歩の場所を知りたい。
A5_0,5,自分に合った無料のAIサービスを知りたい。（診断）
A6_0,6,無料の範囲で経費のレシートを最小のデータ量でデジタル管理したい。
A7_0,7,mixiの広告連発が不便。
A8_0,8,無料で見れる自分が見たい動画を探すのが不便。世界超密着TV!ワレワレハ地球人ダ!!のスネークハンターが見たい。
A9_0,9,無料ユーザーでGPTを使用中に1日で利用できる回数制限になった時、他のAIでさくっと作成できると嬉しい。
A10_0,10,自宅近くのスーパーで最安値の鶏肉とブロッコリーを知りたい。
A11_0,11,渋谷のビル風が強すぎるスポットを知りたい。（サクラステージとか）
A12_0,12,未来的に僕のお金を自分の抱えるユーザーと共有資産化したく、AIで最適な環境を作りたい。
A13_0,13,年間110万円の贈与は無税無申告なので、年間贈与の金額を管理できるツールがほしい。
A14_0,14,インターネット上のセールスでできるところはAI化自動化したい。
A15_0,15,ユーザー毎の支払った金額と利用できるチケットとチケットの有効期限をより良く一括管理したい。
A16_0,16,未来型の人間関係の形を知り、そのような人間関係を効率よく確保していきたい。
A17_0,17,自分の抱えている大量のスピリチュアル好きもしくはスピリチュアル活動者のネット活動を効率化したい。
A18_0,18,ゲームアプリのガチャのように自分のインターネット上のサービス業全てに活用できる最強課金スキームをAI化したい。
A19_0,19,自分のビジネスで繋がっているユーザーの人生を効率よく正しい方向に進めたい。
A20_0,20,GPTの入力欄とチャットの２つをコメントビューアーみたくリアルタイムに見やすく表示したい。背景を透明化できるといい。
A21_0,21,大きい駅での乗り換えが大変
A22_0,22,課題が提出できているか分からない（このシステムもできているか分からない）
A23_0,23,新しいアプリを使う時分からない
A24_0,24,駐車場が本当に空いているか分からん
A25_0,25,たまに誰が支払いをしたのか分からなくなる
A26_0,26,渋滞があるか分からない
A27_0,27,はじめて行くところの道路が狭いか分からない
A28_0,28,ゴミ箱が少ない
A29_0,29,道が狭い
A30_0,30,道にトイレが少ない
A31_0,31,道が暗いところがある
A32_0,32,旅行でどこ行ったらいいか分からない
A33_0,33,おすすめの場所が多くて決まらない
A34_0,34,相手が英語通じない
A35_0,35,言語が通じない時
A36_0,36,相手がどこの国の人か分からない
A37_0,37,水欲しい時に買う場所がない
A38_0,38,ベンチが少ない
A39_0,39,何を買えばいいか分からなくなる
A40_0,40,雨雲が来てるか普段の時も知りたい
A41_0,41,駅のホームに着くまで電車の混雑具合が分からない
A42_0,42,天気予報アプリの降水確率だけでは傘を持って行くか迷う
A43_0,43,カフェの電源席が空いているかどうか行ってみないと分からない
A44_0,44,学校の課題提出を忘れがち
A45_0,45,講義資料が配布される媒体がバラバラで管理しづらい
A46_0,46,学食が混んでいて入るまでに時間がかかる
A47_0,47,授業の休講・補講の連絡が遅い
A48_0,48,Wi-Fiの接続が教室によって不安定
A49_0,49,コンビニでレジに並ぶ時間が長い
A50_0,50,賃貸物件の騒音状況が住んでみないと分からない
A51_0,51,学内のトイレが混んでいて空きを探すのが大変
A52_0,52,自習室の空き状況が分からない
A53_0,53,講義の教室変更が分かりづらい
A54_0,54,スマホの充電が講義中に切れるが、電源席が少ない
A55_0,55,ノートPCの持ち運びが重くて負担
A56_0,56,講義の出席確認が紙で効率が悪い
A57_0,57,Zoom録画がどこで共有されてるか分からず不安
A58_0,58,友達に講義資料を頼むのが気まずい
A59_0,59,アプリやサービスのパスワードが多すぎて覚えきれない
A60_0,60,病院や美容院の予約が電話のみで面倒
A61_0,61,急な雨に傘を持っておらず濡れる
A62_0,62,どの授業でどんな課題が出ているか把握しにくい
A63_0,63,グループワークのメンバーとの連絡手段が定まらない
A64_0,64,授業の内容をメモするときスマホを使うと怪しまれる
A65_0,65,物件の壁の薄さ（防音性）が内見時に分からない
A66_0,66,親から子供への虐待は何とかして無くなれば良いのに
A67_0,67,夫婦間のDVは何とかして無くなれば良いのに
A68_0,68,他人の生命を凶器などでおびやかして自らの欲求を得ることは何とかして無くなれば良いのに
A69_0,69,雨の日はデリバリーの配達人が少なくて配達してくれないことを解決できたら良いのに
A70_0,70,加湿器の定期的なフィルターの消毒がめんどくさいのを解消できたら良いのに
A71_0,71,どうしても机の上に置かれる小物が増えてしまうのを効率よく整理できたら良いのに
A72_0,72,糠漬けの独特の匂いが嫌いな家族に伝わりにくくする方法があれば良いのに
A73_0,73,ガソリン車でも自動駐車機能がある車があれば良いのに
A74_0,74,防水機能を謳う製品の防水寿命が短いのを長くできれば良いのに
A75_0,75,身に着ける静電気防止製品の効果が実際にあるかが事前に分かれば良いのに
A76_0,76,雷が極近くに落ちる可能性がわかると良いのに
A77_0,77,道路が凍っているのか凍ってないのか通行前に判断できるようになれば良いのに
A78_0,78,スーパーの買い物でマイバッグなどに重心を安定して崩れないような入れる順番などを指示してくれれば良いのに
A79_0,79,一般道で制限速度で走っているとオートバイや車が追い越し禁止でも抜いていくことが多いのが無くなると良いのに
A80_0,80,歩きタバコをしている人の煙がこちらに向かってきていることを事前にわかると良いのに
A81_0,81,車から漏れていたり歩きタバコなどで漂って残っている煙の臭いがある場所が事前にわかると良いのに
A82_0,82,温暖化がCO2だけが原因なのかを確認したいので太陽エネルギーの増減をリアルタイムで見れると良いのに
A83_0,83,反抗期の子供が親の言うことを聞いてくれると良いのに
A84_0,84,腕時計型の改札通過タッチデバイスのタッチが左手首にあってほしいので右側にあるタッチ機器にタッチしにくいのを何とかタッチしやすくなれば良いのに
A85_0,85,花粉症で花粉の吸引を抑制する不織布マスクと顔に合わない隙間を自動的に狭めてフィルター効果を高めてくれる補助器具があると良いのに
A86_0,86,花粉症の薬で1日の回数2回や1回と1箱の錠数の違いがばらばらなので最もお得な薬を簡単に計算できれば良いのに
A87_0,87,空きコマの時間が中途半端で有効活用しづらい
A88_0,88,大学のWi-Fiが弱くてオンライン授業や調べ物がしにくい
A89_0,89,学食が混んでて座れない
A90_0,90,レポートの提出フォーマットが授業ごとにバラバラ
A91_0,91,パソコンの充電スペースが足りない
A92_0,92,教室の場所が分かりにくくて迷う
A93_0,93,履修登録システムが使いづらい・重い
A94_0,94,成績や単位の反映が遅い
A95_0,95,教科書が高すぎる
A96_0,96,先生に質問しにくい（特に大人数授業）
A97_0,97,オンライン授業の音声や映像が途切れる
A98_0,98,授業で出席を紙でとる場合、忘れやすい
A99_0,99,プレゼンのとき、プロジェクターの接続トラブルが多い
A100_0,100,自転車の駐輪場が満車で止められない
A101_0,101,大学内の掲示情報が紙ベースで探しづらい
A102_0,102,一人暮らしだと料理や洗濯のやる気が出ない
A103_0,103,鍵をなくしたり、見つからないことがある
A104_0,104,バスや電車の時間がアプリと実際でずれる
A105_0,105,洗濯物が部屋干しだと乾きにくい
A106_0,106,カフェや図書館が満席で勉強できない
A107_0,107,電車で帰宅するとき、毎回乗り換えを調べないと帰宅時間がわからない
A108_0,108,食堂の食券売り場が混雑している
A109_0,109,授業の教室確認に手間がかかる
A110_0,110,課題をやる予定をうまく立てられない
A111_0,111,家族が食べ切れる量の料理を作りたい
A112_0,112,友達の誕生日が覚えられない
A113_0,113,お気に入りのレシピをまとめておきたい
A114_0,114,出席時のログインが面倒
A115_0,115,海外ゲームの翻訳をしながら英語の勉強をしたい
A116_0,116,ゲームのログインを忘れるので管理したい
A117_0,117,デザインの修正を手伝ってほしい
A118_0,118,無駄遣いをしないで貯金をするモチベーションがほしい
A119_0,119,寝る前にデバイスの充電を忘れる
A120_0,120,漫画の最新刊発売日を簡単に確認したい
A121_0,121,家族で同じものを買わないようにしたい
A122_0,122,家にある食材がわからない
A123_0,123,残り物に合わせて料理の献立を考えることが難しい
A124_0,124,会話の話題作り、話題探しをしてほしい
A125_0,125,近所のスーパーで一番安い店を探してほしい
A126_0,126,安売りの食材でレシピを考えてほしい
A127_0,127,認知症かもしれないと不安になる
A128_0,128,認知症介護者の悩みを解決したい
A129_0,129,認知症の人が見えてる世界を知りたい
A130_0,130,「あれなんだっけ」を思い出したい
A131_0,131,夏が暑すぎて辛い
A132_0,132,毎日のゴミが多くて嫌
A133_0,133,冷房に弱くて夏が辛い。暑いのも辛い
A134_0,134,冷え性が辛い
A135_0,135,スマホの広告がウザい。たまに記事が読めない
A136_0,136,どうでもいいネット記事を読んで時間を溶かすのが悲しい
A137_0,137,犬猫の可哀想なリール動画が何回も上がってきてしまって困る。最後は助けられて幸せになるところまで見ないと落ち着かないので、見てしまう
A138_0,138,ドギツイ画像の広告が表示されると凹む
A139_0,139,旅行前の準備で忘れ物がないか不安
A140_0,140,旅行基本情報がほしい。重いガイドブックを持ちたくない、Web情報だとページを出すまで面倒で通信が切れたら困る
A141_0,141,自分の商品をもっと売りたい
A142_0,142,陰謀論者が多くて困る
A143_0,143,財布の中の一円玉が溜まって処理に困る
A144_0,144,Audibleの検索結果や分類が間違っていてストレス
A145_0,145,何かをポケットに入れて、忘れて無くしたと思ってることが多くて困る
A146_0,146,猫が大切なものの上に座って困る
A147_0,147,疎遠気味の友人を遊びに誘いたいが、（コロナ以降は特に）気軽に誘うのが難しくなっている。
A148_0,148,家族内で決めたルールや役割分担を忘れてしまうことが多く、どこに書いたかもバラバラで探しづらい。
A149_0,149,各店舗のポイントカードが紙やアプリでバラバラになっており、使いたいときに探せず結局使わずじまいになる。
A150_0,150,読書や筋トレ、語学など自己研鑽を始めても、モチベーションが続かず途中で止まってしまう。
A151_0,151,対話型AIが進化しているとはいえ、“友達”のような信頼関係までは築けず、孤独感は解消されない。
A152_0,152,ニュースサイトやSNSを見ているうちに、何が本当に自分にとって重要なのか分からなくなり、時間を浪費してしまう。
A153_0,153,SNS上での誹謗中傷が依然として多く、精神的ダメージを受ける人が後を絶たない。
A154_0,154,ディープフェイク技術により、本人に成りすました偽コンテンツが簡単に作れてしまうという不安がある。
A155_0,155,Discordなどのチャットツールで会話が流れるスピードが早すぎて、重要な情報を見逃してしまう。
A156_0,156,ネット上のレビューやコメントがAIによって自動生成されたものも多く、どれが本当に人の声か見分けがつかない。
A157_0,157,「あとで読む」サービスに記事を保存しても、結局読まないまま情報が溜まっていく。
A158_0,158,サブスクリプションサービスを契約したまま放置してしまい、実際に必要かどうかを見直すタイミングがない。
A159_0,159,実現したいアイデアがあっても、それを形にするスキルや人脈がなく、行動に移せずに終わってしまう。
A160_0,160,応援したい“推し”がいても、「どこで何をすれば応援になるのか」が分かりづらく、行動に結びつかない。
A161_0,161,イベントやライブの情報がさまざまな媒体に分散しており、日程を整理して把握するのが難しい。
A162_0,162,音楽アプリでは過去の再生履歴を元におすすめが出てくるが、自分の今の気分や感情までは反映されない。
A163_0,163,ゲームではキャラの強さが重視され、愛着を持って育てた初期のキャラが後半で使いづらくなる。
A164_0,164,ネット検索で調べ物をするとき、関連する時系列のグラフやマイルストーンはあるが、それらを横断的に比較するのが手間。
A165_0,165,チームでのアイデア出しにおいて、アウトプットの粒度が人によってバラバラで、議論がまとまりにくい。
A166_0,166,自分のキャリアや方向性に迷ったときに、具体的に道を示したり背中を押してくれるような“師匠”と出会う機会が少ない。
A167_0,167,ゴミ出しの日をよく忘れる
A168_0,168,エレベーターの到着が遅い
A169_0,169,ツールの学び方がわからない
A170_0,170,スマホの充電コードがすぐ断線する
A171_0,171,飲食店の待ち時間が行かないとわからない
A172_0,172,学校のWi-Fiが途切れやすい
A173_0,173,授業スライドのダウンロードが面倒
A174_0,174,自販機のお釣りの受け取り口がわかりづらい
A175_0,175,雨の日に傘をどこに置いたか忘れる
A176_0,176,ラーメン屋のティッシュが取りづらい
A177_0,177,スマホの通知が多すぎて大事なものが埋もれる
A178_0,178,コピー機の使い方がわかりにくい
A179_0,179,電源が少ないカフェが多い
A180_0,180,コンビニのレジ待ちが長い
A181_0,181,バスの到着時間がずれる
A182_0,182,授業で出席確認が面倒
A183_0,183,ZoomのマイクON/OFF切り替え忘れる
A184_0,184,トイレの空き状況がわからない
A185_0,185,荷物が多いと鍵を取り出しにくい
A186_0,186,Googleカレンダーの通知が多すぎる
A187_0,187,研究室の雑務のドキュメント資料の作成
A188_0,188,毎日の水分摂取量がわからない
A189_0,189,カフェの電源席の空席状況が事前に分からず、直接足を運ぶ必要がある
A190_0,190,課題や提出物を送信したかどうか、確認できるシステムがない
A191_0,191,オンライン授業中に音声や映像が途切れる、通信の不具合が起こる
A192_0,192,学校の掲示板や連絡網で情報が散らばり、必要な情報が見つけにくい
A193_0,193,スマートフォンのバッテリーがすぐに切れてしまい、充電場所の確認が必要になる
A194_0,194,パソコンとスマホの使用時間の合計がわからない
A195_0,195,バスの運行情報がリアルタイムではなく、時刻表通りに待たなければならない
A196_0,196,自転車のシェアサービスのアプリ操作が分かりにくく、利用時に迷う
A197_0,197,駐車場の空き状況が事前に確認できず、時間をロスしてしまう
A198_0,198,レジでのスキャンエラーやポイントカードの読み取りミスが頻発し、会計がスムーズにいかない
A199_0,199,スーパーやドラッグストアの商品の在庫情報が確認できない
A200_0,200,学校のカフェテリアの混雑度が事前に把握できず、着席までに待たされる
A201_0,201,大学のWi-Fiの接続状況が安定せず、ネット環境が心配になる
A202_0,202,学内の図書館や自習室の空席情報が分からず、利用可能かどうか判断しづらい
A203_0,203,飲食店の予約システムが不安定で、実際の待ち時間と予約状況に差がある
A204_0,204,SNSの通知が多すぎて、重要な連絡や情報が埋もれてしまう
A205_0,205,電話会議やオンラインミーティングで接続が切れたり、音声が乱れたりする
A206_0,206,移動中に使うナビゲーションアプリが現実の交通状況と乖離している
A207_0,207,電車に乗ったとき、特定の車両だけ混雑していて乗り降りに時間がかかる。
A208_0,208,物の長さや角度を測りたいときに定規や分度器を持ち歩くのは不便で邪魔になる。
A209_0,209,電車が5分遅延するとすぐ連絡があるのに、バスの遅延はあまり通知されず不安になる。
A210_0,210,デパートなどで位置情報アプリを開いても、現在地が何階にいるか分からない。
A211_0,211,商品の値段が、半年・年単位や週単位でどう変動しているのかが分かりにくい。
A212_0,212,自転車に乗っていると、歩数計がうまく反応しない。
A213_0,213,先生が板書しているとき、手元や書いた履歴が見えず、資料の読み取りなどに苦労する。
A214_0,214,残りのガソリンであと何キロ走れるのかが分からず、給油のタイミングで迷う。
A215_0,215,PDCAサイクル専用のアプリがなく、既存の管理ツールでは進捗や目標の確認がしにくい。
A216_0,216,自分に関係ない情報や広告で、メールボックスがすぐいっぱいになってしまう。
A217_0,217,同じ差出人からのメールでも、一覧画面では1通ずつバラバラに表示されて見づらい。
A218_0,218,自分の興味のある分野で「今日何が起きたか」を簡単に知る手段がない。
A219_0,219,授業中に質問しにくい雰囲気があり、疑問があっても聞けない。
A220_0,220,服のサイズがメーカーによってバラバラで、通販では特に選びにくい。
A221_0,221,食堂が混みすぎていて座れないことが多い。
A222_0,222,欲しい商品がその店に入荷したかどうか分からない。
A223_0,223,授業の進度がクラス全体に合っておらず、早すぎたり遅すぎたりする。
A224_0,224,大学の講義について、みんなの評価や感想を気軽に知る方法がない。
A225_0,225,カフェや施設のWi-Fiが不安定で使いづらい。
A226_0,226,手持ちの服でどのようにコーディネートするか思いつかない。
A227_0,227,家計簿をつけようとしてもなかなか続かない。
A228_0,228,服の洗濯表示が難しくて、正しい洗い方が分からない。
A229_0,229,朝起きれない
A230_0,230,何個もかけた目覚まし時計を消すのがめんどくさい
A231_0,231,よく忘れ物をする
A232_0,232,鍵をかけたか不安になる
A233_0,233,メールに来てる大事な連絡とそうじゃないのがわからない
A234_0,234,Xにスパムリプが多すぎる
A235_0,235,スマホのDiscordで複数アカウントを使えない
A236_0,236,自宅のPCを出先から見たい
A237_0,237,やりたいことを思いつくけどなにもせず忘れる
A238_0,238,夢の続きが見たい
A239_0,239,使ってるブラウザが対応してないサイトがある
A240_0,240,Macで使えないアプリがある
A241_0,241,Xから情報を取るのが難しい
A242_0,242,VRChatのツール情報が取りづらい
A243_0,243,課題の締め切り、やったかどうかを一覧で管理したい
A244_0,244,アップデート時のCHANGELOGを書くのがめんどくさい
A245_0,245,BOOTHの期間限定無料アイテムを知りたい
A246_0,246,BOOTHの無料アイテムを知りたい（投げ銭用有料版があるとそっちに引っ張られて検索対象にならない）
A247_0,247,BOOTHアイテムのアセット管理ツールに今まで保存しているアイテムを一括登録したい
A248_0,248,ウサギの水・餌やりを自動化したい
A249_0,249,コミットメッセージが適当になる
A250_0,250,傘を持っていくべきか迷った日に限って雨が降る
A251_0,251,レポート作成時に必要な参考文献をどこにメモしたか忘れる
A252_0,252,講義室についたらペンの芯がなくなっていることに気づく
A253_0,253,グループワークでの役割分担が不公平になりがち
A254_0,254,教室移動の際に次の教室の場所をいつも忘れてしまう
A255_0,255,デジタルノートとアナログノートのどちらを使うべきか迷う
A256_0,256,自習室で静かな席を見つけるのに時間がかかる
A257_0,257,オンラインと対面授業が混在する日のスケジュール管理が難しい
A258_0,258,図書館で借りたい本が誰かに借りられている
A259_0,259,長時間のオンライン授業で目が疲れる
A260_0,260,スマホの通知音が授業中に鳴ってしまう
A261_0,261,学食のメニューが毎日同じで飽きる
A262_0,262,資料をプリントアウトし忘れて授業に行ってしまう
A263_0,263,靴下の片方だけがなくなる謎現象
A264_0,264,履修登録期間を忘れてしまう
A265_0,265,友人との待ち合わせ場所が曖昧で見つからない
A266_0,266,ノートPCのバッテリーが授業中に切れそうになる
A267_0,267,エレベーターで降りる階を押し忘れる
A268_0,268,部屋の掃除をしても数日でまた散らかる
A269_0,269,授業資料や課題の提出先が科目ごとに異なるプラットフォームで混乱する
A270_0,270,買い物リストを作っても店で見るのを忘れる
A271_0,271,自転車の空気が減っていることに乗るときになって気づく
A272_0,272,課題の提出期限がわからなくなる時がある
A273_0,273,今、なんの花粉が飛んでいるのかわからない（いつから、いつまで）
A274_0,274,発表者がいつも同じ人になってしまう
A275_0,275,役割決めが決まらない
A276_0,276,身近な人の誕生日を忘れる
A277_0,277,季節の変わり目で服装に迷う
A278_0,278,英文の精読時に品詞に迷う
A279_0,279,英単語の発音に迷う
A280_0,280,夕ご飯を何にするか迷う
A281_0,281,自分が取得した資格を忘れる
A282_0,282,課題を全て提出したか不安になる
A283_0,283,外出時、傘を持っていくか迷う
A284_0,284,電車遅延があるかわからない
A285_0,285,旅行先での服装に迷う
A286_0,286,外食でお店の混雑具合がわからない
A287_0,287,資料を大量にペーパーでもらった時に管理に困る
A288_0,288,冷蔵庫に何が入っているかわからなくなる
A289_0,289,定期検診（歯医者）の予約をいつ頃とったらいいかわからなくなる
A290_0,290,欲しい商品がどのお店にあるのかわからない
A291_0,291,電車のどの車両が空いているかわからない
A292_0,292,災害時、外出してたらどこに避難したら良いかわからない
A293_0,293,何の服を購入するか決めるのが面倒
A294_0,294,今日何を食べればいいか決めるのに困る
A295_0,295,トイレの混雑状況などを知りたい
A296_0,296,ほとんど使用していないサブスクアプリをスマホの使用時間から教えて欲しい
A297_0,297,低額だが頻度が多い出費を管理してくれるアプリが欲しい
A298_0,298,部屋の掃除をするとき優先順位が分からない
A299_0,299,荷物を届けるときに相手が不在
A300_0,300,スマホや鍵など部屋にはあるのに行方不明になり、時間的なロスが発生する
A301_0,301,スーパーで食材を買っても結局使わず捨ててしまう
A302_0,302,スマホの充電コードが届かない位置にある
A303_0,303,外にいるときにトイレに行きたくなった場合、公衆トイレの場所などを迅速に知りたい
A304_0,304,ごみを捨てるときに燃えるゴミ／燃えないゴミ／危険物などを一瞬で判別できるようにしたい
A305_0,305,運動をするときにおすすめの場所やランニングコースといった場所を提示してくれるアプリが欲しい
A306_0,306,ティッシュがなくなったときに限って手が汚れる
A307_0,307,エレベーターが来るのが遅い
A308_0,308,Wi-Fiがたまに途切れる
A309_0,309,ポイントカードなどをいちいち財布から取り出すのが面倒
